               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10377,            0.051302,            0.027363,            0.035862,             0.18458,            0.016952,           0.0031789,            0.083263,            0.044149,             0.02479,             0.00074,             0.00074,             0.09334
                   1,            0.080296,            0.045295,            0.024037,             0.24278,             0.47131,             0.20716,            0.043161,            0.061413,            0.032499,            0.020776,           0.0014897,           0.0014897,             0.08659
                   2,            0.071656,            0.038827,            0.019371,             0.31435,             0.55335,             0.28262,            0.081092,            0.061947,            0.028619,            0.011698,            0.002238,            0.002238,            0.079838
                   3,            0.066184,            0.035434,           0.0094255,             0.34106,             0.71689,             0.40669,              0.0842,            0.057196,            0.026769,            0.003187,            0.002984,            0.002984,            0.073084
                   4,            0.062365,            0.032366,           0.0052778,             0.56469,             0.69672,             0.59338,              0.2038,            0.054653,            0.025862,           0.0029654,           0.0037267,           0.0037267,            0.066327
                   5,            0.058242,            0.030649,           0.0040911,             0.48922,                0.73,             0.52841,             0.15169,            0.052253,             0.02699,           0.0025753,           0.0044651,           0.0044651,            0.059565
                   6,            0.056316,            0.028603,           0.0039681,             0.29725,             0.64122,             0.34988,            0.072271,            0.066327,            0.028061,           0.0050905,           0.0051982,           0.0051982,            0.052798
                   7,            0.056356,            0.030537,           0.0035235,             0.61889,             0.63637,             0.64775,             0.27696,            0.051895,            0.026446,           0.0023258,           0.0059251,           0.0059251,            0.046025
                   8,             0.05536,            0.032595,           0.0031561,             0.57151,             0.66359,             0.61255,             0.18355,            0.053026,            0.028618,           0.0021551,           0.0066447,           0.0066447,            0.039245
                   9,            0.051977,            0.029195,           0.0028089,             0.77365,             0.74122,             0.73756,             0.29388,            0.046771,            0.029755,           0.0026446,           0.0073562,           0.0073562,            0.032456
                  10,            0.047551,            0.027945,           0.0025937,             0.72397,             0.70653,             0.66777,              0.2133,            0.053617,            0.031195,           0.0019507,           0.0080585,           0.0080585,            0.025659
                  11,            0.051084,            0.029103,           0.0033766,             0.75871,             0.70892,             0.70968,              0.2899,            0.045159,            0.028115,           0.0028527,           0.0087508,           0.0087508,            0.018851
                  12,            0.048577,            0.028145,           0.0031425,             0.72978,             0.73935,             0.73492,             0.30373,            0.047167,            0.028066,           0.0018922,           0.0094322,           0.0094322,            0.012032
                  13,            0.047591,            0.027891,           0.0029966,             0.73707,             0.67603,              0.6922,             0.28056,            0.045329,            0.031338,           0.0023769,           0.0096299,           0.0096299,           0.0096299
