               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10601,            0.046909,            0.027549,           0.0097911,             0.19783,           0.0047735,          0.00096419,            0.086977,            0.044393,            0.023978,             0.00074,             0.00074,             0.09334
                   1,            0.080543,            0.049576,            0.023439,             0.41844,             0.33484,              0.3005,            0.088863,            0.066601,            0.033433,            0.016157,           0.0014897,           0.0014897,             0.08659
                   2,            0.072728,            0.040766,            0.015312,              0.3874,             0.58482,             0.40026,            0.099967,            0.065485,            0.027932,            0.005433,            0.002238,            0.002238,            0.079838
                   3,            0.067719,            0.034648,           0.0078073,             0.45507,              0.6215,             0.48629,             0.15405,            0.055307,             0.02854,           0.0032427,            0.002984,            0.002984,            0.073084
                   4,            0.061884,            0.033298,           0.0048911,             0.64906,             0.72381,             0.68903,             0.21288,            0.053663,            0.027834,           0.0026044,           0.0037267,           0.0037267,            0.066327
                   5,            0.058923,            0.032505,           0.0041748,             0.62968,             0.70833,             0.66609,             0.22319,            0.056715,            0.026145,           0.0019085,           0.0044651,           0.0044651,            0.059565
                   6,            0.057299,            0.029108,           0.0036276,              0.6748,             0.67767,             0.62235,             0.20404,            0.053454,            0.027174,           0.0026025,           0.0051982,           0.0051982,            0.052798
                   7,            0.058381,            0.031341,           0.0037617,             0.57313,             0.51026,             0.52118,             0.18461,            0.061856,            0.028541,           0.0036787,           0.0059251,           0.0059251,            0.046025
                   8,             0.05368,            0.033053,           0.0033741,             0.76333,             0.77401,             0.75897,             0.28506,            0.046831,            0.026224,           0.0021857,           0.0066447,           0.0066447,            0.039245
                   9,            0.052081,            0.029488,           0.0030366,             0.60182,             0.71473,             0.63715,             0.25687,            0.048754,            0.027753,           0.0024673,           0.0073562,           0.0073562,            0.032456
                  10,            0.048042,            0.029417,           0.0029676,             0.72734,             0.71274,             0.69137,             0.19409,            0.049512,            0.026652,           0.0022605,           0.0080585,           0.0080585,            0.025659
                  11,             0.05289,            0.030634,           0.0031983,             0.57751,             0.64076,             0.55398,             0.16786,            0.057633,            0.027961,           0.0032288,           0.0087508,           0.0087508,            0.018851
                  12,            0.051582,            0.028675,           0.0035834,             0.75784,             0.79854,             0.77145,             0.30731,            0.047177,            0.028317,             0.00176,           0.0094322,           0.0094322,            0.012032
                  13,            0.049517,            0.029778,           0.0029456,              0.7105,             0.67459,             0.63523,             0.23404,            0.048156,            0.028552,           0.0019434,           0.0096299,           0.0096299,           0.0096299
                  14,            0.045921,            0.029204,           0.0026838,             0.75021,             0.73792,             0.70168,             0.29172,            0.047566,            0.031628,           0.0020745,           0.0096299,           0.0096299,           0.0096299
                  15,            0.043548,            0.029691,           0.0027185,              0.7122,             0.70315,             0.66475,             0.27852,              0.0493,            0.031595,           0.0018845,           0.0095717,           0.0095717,           0.0095717
                  16,            0.043275,            0.030633,           0.0024531,             0.66117,             0.64978,             0.59528,             0.20875,            0.051538,            0.034462,           0.0015443,           0.0095095,           0.0095095,           0.0095095
                  17,            0.042003,             0.02679,           0.0022815,             0.85817,             0.84442,             0.84375,             0.38858,            0.040435,            0.024892,           0.0015904,           0.0094434,           0.0094434,           0.0094434
                  18,             0.03998,             0.02798,           0.0021463,             0.69898,             0.69016,               0.629,             0.26061,            0.047033,            0.034973,           0.0012406,           0.0093733,           0.0093733,           0.0093733
                  19,            0.041372,            0.030447,           0.0024778,             0.72054,             0.72014,             0.66191,             0.25061,            0.048498,            0.029844,           0.0011674,           0.0092995,           0.0092995,           0.0092995
                  20,            0.041298,            0.031103,           0.0022038,             0.71605,             0.70971,             0.67604,             0.27492,            0.046297,            0.031732,           0.0015999,           0.0092219,           0.0092219,           0.0092219
